year,fips,state_fips,county_fips,edu_universe_25_plus,no_schooling,high_school_diploma,ged,associates_degree,bachelors_degree,masters_degree,professional_degree,doctorate_degree
2014,36001,36,001,205404,3021,48148,7975,20099,40409,28342,6031,4842
2014,36005,36,005,907037,35842,204298,43342,63822,113618,46510,8114,6384
2014,36007,36,007,131138,1487,32738,7651,16623,19454,11649,2343,1895
2014,36009,36,009,53384,521,17187,4195,5898,7004,3492,292,427
2014,36011,36,011,55252,347,15022,2856,7617,6826,3896,606,268
2014,36013,36,013,90108,1203,27255,5588,12063,10662,7060,861,920
2014,36015,36,015,60274,550,17699,3385,7680,8527,5211,921,571
2014,36019,36,019,55014,653,16271,3709,5002,6472,4849,878,608
2014,36027,36,027,202651,2057,42358,9200,19997,39948,23401,3773,3137
2014,36029,36,029,638779,7076,152817,27379,75182,108829,68110,12853,10010
2014,36045,36,045,73256,571,18047,4772,9611,8579,6073,962,476
2014,36047,36,047,1763658,50484,384269,72647,108824,373471,173147,41224,16949
2014,36051,36,051,43044,292,13135,2749,5465,3945,4370,514,248
2014,36053,36,053,47892,211,14130,2460,4945,7620,3823,553,956
2014,36055,36,055,508539,6564,106749,21172,60332,104073,57462,11639,9579
2014,36059,36,059,936753,11146,204449,17220,71660,222935,126615,41587,13828
2014,36061,36,061,1238675,26470,134011,25161,52441,388358,227777,86928,38341
2014,36063,36,063,150559,1523,49171,7707,18702,20846,10785,1749,819
2014,36065,36,065,160210,2931,45083,9777,18802,21488,11785,2322,1327
2014,36067,36,067,315177,3828,68019,12653,38953,61228,34588,7501,5012
2014,36069,36,069,75663,843,17610,4460,10283,11903,8278,757,1474
2014,36071,36,071,238094,2937,63357,9522,25083,38863,24352,2958,1532
2014,36075,36,075,80454,1169,23684,5903,9584,8903,5727,446,416
2014,36079,36,079,69745,935,16577,1565,6250,15706,8689,1825,1150
2014,36081,36,081,1640590,53927,386729,65353,132786,308811,135215,29589,14860
2014,36083,36,083,109566,652,27800,4233,17789,17592,9005,1652,1125
2014,36085,36,085,324356,3475,91885,12361,27401,62296,29675,6262,2551
2014,36087,36,087,203414,4386,36122,5194,16256,47593,26598,5889,2797
2014,36089,36,089,72393,1021,21312,4480,7803,8896,6379,1040,971
2014,36091,36,091,157991,785,32206,6052,16702,36993,21341,2877,3916
2014,36093,36,093,105094,1643,26917,3542,12477,18141,12386,1615,1604
2014,36101,36,101,68496,629,22416,4006,7853,7912,6344,612,694
2014,06073,06,073,2169779,40152,362217,46833,184395,506391,196818,56888,44684
2014,06075,06,075,671896,19291,76096,9543,40005,220923,97152,28910,17406
2014,06077,06,077,443036,17350,105264,18668,37847,54271,18688,4654,3561
2014,06079,06,079,183546,2596,28881,5690,19069,37286,15621,4396,4843
2014,06081,06,081,539026,9748,74281,9056,38482,154098,65214,21801,15170
2014,06083,06,083,272070,6204,44054,6584,19922,53540,20014,7522,5947
2014,06085,06,085,1290951,27349,177377,23118,94129,336360,208606,35227,44064
2014,06087,06,087,175924,2632,25229,4278,16207,42919,17596,5449,3550
2014,06089,06,089,125999,946,25200,4941,15531,16808,6080,2199,1086
2014,06095,06,095,289822,5652,54783,9220,27348,52014,13112,4094,2995
2014,06097,06,097,352785,7655,59263,9139,33643,80145,28126,10024,4639
2014,06099,06,099,332346,10955,78225,12617,26649,38013,12206,4461,1880
2014,06101,06,101,61679,2724,14444,2091,6883,6976,2560,964,604
2014,06107,06,107,264157,13970,62267,8625,19835,22321,6471,3139,599
2014,06111,06,111,557479,13121,97586,10682,52792,110753,44880,10974,9735
2014,06113,06,113,123078,3243,23128,2730,9243,23565,13138,5592,6735
2014,06115,06,115,45541,1207,9687,1751,4825,4532,1863,349,66
2014,08001,08,001,304394,6203,68218,18360,23455,43867,17973,3455,2187
2014,08005,08,005,413913,3527,69398,13175,33843,112536,41483,9894,5551
2014,08013,08,013,202844,1936,23292,3538,13271,63150,37940,6349,10293
2014,08031,08,031,467801,6587,65095,17180,25510,125408,56204,16429,8989
2014,08035,08,035,202538,1224,24131,3717,15072,74947,29398,5655,4411
2014,08041,08,041,421730,2849,70089,15490,44971,90816,49986,6783,6317
2014,08059,08,059,394148,2226,70750,14584,32330,101737,48209,8742,6845
2014,08069,08,069,209799,708,36718,6206,18464,56529,20929,4705,7362
2014,08077,08,077,99997,962,23776,4477,8771,17117,5762,1095,1174
2014,08101,08,101,108140,600,24289,5816,13636,15983,7170,1470,859
2014,08123,08,123,175422,2513,42299,7697,16489,30854,10539,2078,1643
2014,09001,09,001,638978,4374,127036,14423,36113,165506,96890,25879,10397
2014,09003,09,003,620555,7915,147467,21693,49297,132609,70322,16257,9291
