year,county_fips,unemployment_rate
2023,01039,2.8
2023,01039,2.7
2023,01039,2.6
2023,01039,2.9
2023,01039,2.9
2023,01039,2.9
2023,01039,3
2023,01039,2.1
2023,01039,1.9
2023,01039,2.4
2023,01039,2.9
2023,01039,2.8
2022,01039,2.3
2022,01039,2.3
2022,01039,2.3
2022,01039,2.5
2022,01039,2.9
2022,01039,3
2022,01039,3
2022,01039,2.2
2022,01039,2
2022,01039,2.3
2022,01039,2.7
2022,01039,3
2024,01041,3.5
2024,01041,3.6
2024,01041,3.3
2024,01041,3.1
2024,01041,3.9
2024,01041,3.8
2024,01041,3.7
2024,01041,2.7
2024,01041,3.2
2024,01041,3.2
2024,01041,3.5
2024,01041,3.6
2023,01041,3.1
2023,01041,2.9
2023,01041,2.8
2023,01041,3
2023,01041,3
2023,01041,2.7
2023,01041,3
2023,01041,2.2
2023,01041,1.9
2023,01041,2.4
2023,01041,3
2023,01041,3.4
2022,01041,2.3
2022,01041,2.5
2022,01041,2.7
2022,01041,2.9
2022,01041,3.4
2022,01041,3.2
2022,01041,3.4
2022,01041,2.2
2022,01041,2.2
2022,01041,2.7
2022,01041,3
2022,01041,3.5
2024,01043,2.9
2024,01043,2.9
2024,01043,2.9
2024,01043,2.8
2024,01043,3.2
2024,01043,3
2024,01043,2.8
2024,01043,2.1
2024,01043,2.1
2024,01043,2.5
2024,01043,2.9
2024,01043,2.7
2023,01043,2.1
2023,01043,2.2
2023,01043,2.2
2023,01043,2.3
2023,01043,2.4
2023,01043,2.3
2023,01043,2.3
2023,01043,1.7
2023,01043,1.5
2023,01043,1.8
2023,01043,2.2
2023,01043,2.1
2022,01043,1.6
2022,01043,1.8
2022,01043,1.9
2022,01043,2
2022,01043,2.3
2022,01043,2.3
2022,01043,2.6
2022,01043,1.8
2022,01043,1.7
2022,01043,2
2022,01043,2.3
2022,01043,2.5
2024,01045,3.7
2024,01045,3.5
2024,01045,3.7
2024,01045,3.5
2024,01045,3.8
2024,01045,3.8
2024,01045,3.6
2024,01045,2.7
2024,01045,2.7
2024,01045,3.3
2024,01045,3.7
2024,01045,3.8
2023,01045,3.1
2023,01045,2.7
2023,01045,2.8
2023,01045,3
2023,01045,3.1
2023,01045,2.8
2023,01045,3.1
2023,01045,2.3
2023,01045,2.1
2023,01045,2.4
2023,01045,2.9
2023,01045,2.9
2022,01045,2.4
2022,01045,2.5
2022,01045,2.6
2022,01045,2.7
