year,fips,state_fips,county_fips,total_workers,drove_alone,carpooled,public_transit,bus,subway,bicycle,walked,worked_from_home,total_households_vehicles,no_vehicle,one_vehicle,two_vehicles,three_vehicles,four_plus_vehicles
2014,26021,26,021,69791,55697,5466,420,255,0,174,2324,4711,62984,5183,22082,23387,9384,2948
2014,26045,26,045,51591,43375,4171,327,327,0,78,1286,1999,44115,2045,14089,17866,7091,3024
2014,26049,26,049,155961,132217,14630,2398,2372,0,134,2462,2987,167096,15133,63966,60430,19121,8446
2014,26055,26,055,43946,35888,3415,580,580,0,294,1213,2030,35935,1887,11045,14949,6279,1775
2014,26065,26,065,133829,100509,11186,5145,5103,0,3240,7595,5341,110794,9849,41925,41373,13571,4076
2014,26077,26,077,122833,99923,9508,1997,1986,0,512,2463,5983,100171,8325,35147,40264,11303,5132
2014,26081,26,081,303182,245608,26206,6715,6675,0,816,6427,12016,231986,18018,75084,97276,29906,11702
2014,26093,26,093,90264,79151,5775,515,515,0,42,1325,2845,69272,2116,16871,30085,13443,6757
2014,26099,26,099,397959,345080,32661,2801,2801,0,898,3467,10187,337712,20727,120655,128797,46517,21016
2014,26121,26,121,67333,56762,6713,446,340,0,75,373,2307,64646,6882,22616,23546,8229,3373
2014,26125,26,125,603728,516117,50920,3490,3079,147,969,5554,23122,492063,27193,167539,198305,69932,29094
2014,26139,26,139,139949,114742,12846,1605,1605,0,487,3347,5971,97198,4727,24818,43854,16555,7244
2014,26145,26,145,81801,68866,5730,367,367,0,396,2731,3286,78000,7578,26222,30709,9557,3934
2014,26147,26,147,68692,56561,8561,678,678,0,0,580,1792,62728,4390,21083,23772,9398,4085
2014,26161,26,161,176360,127856,12572,9809,9809,0,3396,11768,9942,137240,11893,48763,52215,16865,7504
2014,26163,26,163,699668,563788,68811,23176,22741,105,3004,13571,19589,661414,94281,266182,210723,67170,23058
2014,27003,27,003,181935,148744,16353,5858,5021,0,549,1817,7156,124579,6422,31700,52579,21644,12234
2014,27019,27,019,53672,44172,3594,1103,984,0,304,479,3908,34298,1538,7366,17179,6017,2198
2014,27037,27,037,226834,183536,20357,7465,6942,150,782,2468,10007,157153,6106,46900,68859,25488,9800
2014,27053,27,053,651815,472393,53778,49100,45883,215,12351,24405,33926,493219,53780,172004,189075,56941,21419
2014,27109,27,109,77872,56756,9332,5241,5241,0,977,2191,2590,58607,3848,17860,24323,9267,3309
2014,27123,27,123,266576,194073,25755,19162,18067,256,2809,8402,13958,207243,25303,77710,76795,19603,7832
2014,27131,27,131,33421,25038,2543,238,238,0,323,880,4114,22933,1300,6708,9371,3479,2075
2014,27137,27,137,93793,73006,9321,1608,1571,0,166,4677,3969,85475,8518,26357,31532,13153,5915
2014,27141,27,141,47326,38356,4644,335,0,0,372,368,2505,30571,1403,4739,13854,7336,3239
2014,27145,27,145,81085,63864,5972,846,832,0,429,4020,5619,57226,3523,16390,24635,9429,3249
2014,27163,27,163,127664,104970,10367,3273,3273,0,611,1782,5810,91281,3400,21813,41366,17196,7506
2014,28047,28,047,88499,73135,7307,408,408,0,431,4225,2228,78512,3808,31533,30823,8450,3898
2014,29019,29,019,88833,68210,7566,1355,1355,0,783,4853,4953,67198,4174,21742,29073,8793,3416
2014,29047,29,047,117664,98824,10043,390,390,0,112,1150,6076,88345,3036,29319,37057,11909,7024
2014,29077,29,077,131451,109577,11388,705,705,0,865,2749,4711,117910,6486,43448,48870,13970,5136
2014,29095,29,095,324269,265467,26101,7373,7373,0,495,5440,14663,272945,24465,108362,96248,32065,11805
2014,29183,29,183,198482,171520,12018,447,43,0,215,1662,10927,140043,5258,36907,61087,25319,11472
2014,29189,29,189,482931,402437,34529,13175,10308,127,1041,8264,19912,398531,28801,140142,160869,51678,17041
2014,29510,29,510,144640,103070,11567,14740,13609,124,1859,7299,4932,137784,30620,61881,34216,8147,2920
2014,30111,30,111,79530,64202,8643,963,963,0,341,1441,3329,61936,3674,18201,22101,11445,6515
2014,31055,31,055,276129,232725,23267,3496,3469,0,1007,5775,7740,209520,15879,75055,84785,24930,8871
2014,31109,31,109,161286,130300,16005,1911,1698,0,1861,4910,5325,119205,7375,40253,46013,17874,7690
2014,32003,32,003,936449,726730,95697,44738,44591,0,4585,14781,28598,731322,66806,295223,257844,80652,30797
2014,32031,32,031,204805,161493,21816,3794,3794,0,911,5660,8716,166641,12596,54873,61285,25328,12559
2014,33009,33,009,43089,32222,3901,335,280,0,217,3507,2247,35436,1610,13131,13403,5723,1569
2014,33011,33,011,214581,176735,18021,1160,871,0,427,3411,13387,153482,8610,47453,63127,23601,10691
2014,33013,33,013,75567,61879,5409,312,312,0,162,2009,5211,57023,2872,17559,22112,10366,4114
2014,33015,33,015,161802,134874,10437,1533,1223,78,359,2825,9862,119020,4974,32815,50662,20853,9716
2014,34001,34,001,126131,98838,9406,8434,7952,54,571,3542,2632,101937,14346,34495,37261,12008,3827
2014,34003,34,003,462099,317242,34193,67422,51100,36,1793,14744,20769,337469,26572,116538,133809,42436,18114
2014,34005,34,005,220681,184747,16326,7830,3047,37,750,2395,7386,165424,7687,50391,67867,26623,12856
2014,34007,34,007,241093,186986,22493,15422,6634,130,516,5967,7204,188064,21431,66948,68186,22412,9087
2014,34011,34,011,64489,52611,5513,1809,1780,0,349,1805,932,50593,4847,18655,17522,6834,2735
2014,34013,34,013,363969,221411,31607,74744,40797,442,791,17899,13510,277735,60664,112018,75478,22414,7161
2014,34015,34,015,144064,122294,9304,3139,2104,101,849,1514,5759,104305,8629,29269,42834,15552,8021
2014,34017,34,017,339141,128135,28048,136530,66536,2241,958,30425,9878,253300,80140,117379,42709,10958,2114
2014,34021,34,021,175228,124801,19474,13599,5301,104,1254,4596,10643,131564,15835,44174,47802,16525,7228
2014,34023,34,023,403666,298787,29674,35614,14331,124,1160,10800,16253,282860,20239,101117,107260,36298,17946
2014,34025,34,025,308623,238528,21105,21838,11592,41,2291,4533,15347,230391,16592,69109,90276,36491,17923
2014,34027,34,027,261211,202637,18012,14555,5891,0,336,7343,15735,179654,8335,52522,77571,29349,11877
2014,34029,34,029,241810,199435,17389,4986,4297,0,822,3840,12106,220941,14196,81449,84788,26325,14183
2014,34031,34,031,228595,161522,23156,23145,20304,19,215,6525,8573,159309,26256,58562,48708,17802,7981
2014,34035,34,035,170380,132552,14915,8782,3414,137,272,3319,9815,117482,5857,34649,51431,17514,8031
2014,34037,34,037,73467,59623,6824,1717,1470,0,0,912,4188,54174,1814,15261,21892,10859,4348
2014,34039,34,039,269297,188415,19523,28882,14197,302,823,7085,8707,186037,20145,66645,70482,20442,8323
2014,35001,35,001,305431,242694,26900,7907,7033,0,4591,6315,12383,261279,17725,93529,101021,34551,14453
2014,35013,35,013,89616,73092,8825,252,209,0,1010,1567,4199,75530,5136,23461,29807,12100,5026
